name,primaryPosition,secondaryPosition,pace,shooting,passing,defending,stamina,goalkeeping
Malik,GK,-,45,20,66,32,78,91
Theo,LB,LM,84,55,76,80,88,12
Sami,CB,CDM,72,42,71,90,86,10
Hugo,CB,-,68,39,74,88,89,9
Nico,RB,RM,86,52,75,79,90,11
Amir,CM,CDM,77,70,88,72,91,8
Leo,CM,CAM,79,74,86,68,87,7
Rayan,CAM,CM,82,83,91,48,84,6
Noah,LW,LM,92,84,80,40,82,5
Victor,ST,RW,87,93,74,35,85,5
Enzo,RW,RM,91,86,82,42,83,6
Jonas,CB,RB,75,45,69,84,88,8
Milan,CM,CAM,81,78,84,65,89,7
Iker,ST,LW,84,88,77,38,90,5
Luca,LW,CAM,89,80,85,44,86,6
Marco,CDM,CM,74,61,82,86,92,7
Dylan,LM,LW,87,76,82,58,88,6
Owen,RM,RW,88,79,80,55,86,6
